,alpha,m,max_matched_dist,num_trajectories
0,0.0,0.5,0.0,127
1,0.0,0.51,0.0,120
2,0.0,0.52,0.0,127
3,0.0,0.53,0.0,118
4,0.0,0.54,0.0,114
5,0.0,0.55,0.0,124
6,0.0,0.56,0.0,119
7,0.0,0.57,0.0,119
8,0.0,0.58,0.0,112
9,0.0,0.59,0.0,108
10,0.0,0.6,0.0,105
11,0.0,0.61,0.0,109
12,0.0,0.62,0.0,111
13,0.0,0.63,0.0,116
14,0.0,0.64,0.0022270000000000068,112
15,0.0,0.65,0.0022273333333333034,107
16,0.0,0.66,0.002227333333333331,107
17,0.0,0.67,0.002227333333333331,108
18,0.0,0.68,0.002227333333333331,107
19,0.0,0.69,0.002227333333333331,103
20,0.0,0.7,0.002227333333333331,98
21,0.0,0.71,0.002227333333333331,96
22,0.0,0.72,0.002227333333333359,93
23,0.0,0.73,0.002227333333333359,85
24,0.0,0.74,0.002227333333333359,86
25,0.0,0.75,0.002237,80
26,0.0,0.76,0.002237,80
27,0.0,0.77,0.002237,77
28,0.0,0.78,0.002237,71
29,0.0,0.79,0.002237,67
30,0.0,0.8,0.002237,69
31,0.0,0.81,0.0022373333333333334,67
32,0.0,0.82,0.002237333333333341,62
33,0.0,0.83,0.002237333333333341,62
34,0.0,0.84,0.0022373333333333334,61
35,0.0,0.85,0.002237333333333341,56
36,0.0,0.86,0.003156767773811968,57
37,0.0,0.87,0.0031570039946478053,51
38,0.0,0.88,0.0031570039946478053,52
39,0.0,0.89,0.0031570039946478053,47
40,0.0,0.9,0.004984651029800262,44
41,0.0,0.91,0.004984651029800262,44
42,0.0,0.92,0.004984651029800262,43
43,0.0,0.93,0.004984651029800286,40
44,0.0,0.94,0.004984651029800286,41
45,0.0,0.95,0.009969152449208282,34
46,0.0,0.96,0.009969152449208282,36
47,0.0,0.97,0.028571484825103327,41
48,0.0,0.98,0.04761904971285708,45
49,0.0,0.99,0.04980813160407534,55
50,0.0,1.0,0.11238477536521076,62
51,0.1,0.5,0.004984651029800286,68
52,0.1,0.51,0.004984651029800286,73
53,0.1,0.52,0.004984651029800286,76
54,0.1,0.53,0.003156768829744166,81
55,0.1,0.54,0.003156768829744166,90
56,0.1,0.55,0.003156768829744166,81
57,0.1,0.56,0.003156768829744166,86
58,0.1,0.57,0.003156768829744166,86
59,0.1,0.58,0.003156768829744166,73
60,0.1,0.59,0.003156768829744166,70
61,0.1,0.6,0.003156768829744166,69
62,0.1,0.61,0.003156768829744166,66
63,0.1,0.62,0.003156768829744166,66
64,0.1,0.63,0.003156768829744166,70
65,0.1,0.64,0.003156768829744166,75
66,0.1,0.65,0.003156768829744166,79
67,0.1,0.66,0.003156768829744166,79
68,0.1,0.67,0.003156768829744166,79
69,0.1,0.68,0.003156768829744166,84
70,0.1,0.69,0.003156768829744166,80
71,0.1,0.7,0.003156768829744166,86
72,0.1,0.71,0.003156768829744166,90
73,0.1,0.72,0.0031588859498950317,89
74,0.1,0.73,0.0031588859498950317,87
75,0.1,0.74,0.0031588859498950317,88
76,0.1,0.75,0.004984651029800286,80
77,0.1,0.76,0.004984651029800286,79
78,0.1,0.77,0.004984651029800286,81
79,0.1,0.78,0.004984651029800286,74
80,0.1,0.79,0.004984651029800286,73
81,0.1,0.8,0.004984651029800286,70
