,alpha,m,max_matched_dist,num_trajectories
0,0.0,0.5,0.021361815754339153,57
1,0.0,0.51,0.02269692923898531,65
2,0.0,0.52,0.02269692923898531,67
3,0.0,0.53,0.02269692923898531,66
4,0.0,0.54,0.02269692923898531,71
5,0.0,0.55,0.02269692923898531,73
6,0.0,0.56,0.02269692923898531,65
7,0.0,0.57,0.02269692923898531,68
8,0.0,0.58,0.02269692923898531,69
9,0.0,0.59,0.02269692923898531,68
10,0.0,0.6,0.02269692923898531,66
11,0.0,0.61,0.02269692923898531,65
12,0.0,0.62,0.02269692923898531,62
13,0.0,0.63,0.022736163372398338,62
14,0.0,0.64,0.022736163372398338,65
15,0.0,0.65,0.022736163372398338,63
16,0.0,0.66,0.022736163372398338,62
17,0.0,0.67,0.022736163372398338,59
18,0.0,0.68,0.022736163372398338,53
19,0.0,0.69,0.022736163372398338,52
20,0.0,0.7,0.022736163372398338,54
21,0.0,0.71,0.022736163372398338,53
22,0.0,0.72,0.022736163372398394,50
23,0.0,0.73,0.022736163372398394,48
24,0.0,0.74,0.022736163372398394,46
25,0.0,0.75,0.022736163372398394,43
26,0.0,0.76,0.022736163372398394,43
27,0.0,0.77,0.02403204272363152,43
28,0.0,0.78,0.02403204272363152,42
29,0.0,0.79,0.02403204272363152,41
30,0.0,0.8,0.02403204272363152,44
31,0.0,0.81,0.02403204272363152,48
32,0.0,0.82,0.02403204272363152,50
33,0.0,0.83,0.02403204272363152,53
34,0.0,0.84,0.02403204272363152,53
35,0.0,0.85,0.02403204272363152,57
36,0.0,0.86,0.02403204272363152,58
37,0.0,0.87,0.02403204272363152,59
38,0.0,0.88,0.025367156208277702,63
39,0.0,0.89,0.025367156208277702,62
40,0.0,0.9,0.025367156208277702,64
41,0.0,0.91,0.025367156208277702,67
42,0.0,0.92,0.025367156208277702,68
43,0.0,0.93,0.025367156208277702,71
44,0.0,0.94,0.05080453295177684,75
45,0.0,0.95,0.05080453295177684,75
46,0.0,0.96,0.05080453295177684,78
47,0.0,0.97,0.05080453295177684,75
48,0.0,0.98,0.05075187665887373,82
49,0.0,0.99,0.06814312499425823,76
50,0.0,1.0,0.06814312499425823,72
51,0.1,0.5,0.02403204272363152,72
52,0.1,0.51,0.02403204272363152,65
53,0.1,0.52,0.02403204272363152,64
54,0.1,0.53,0.02403204272363152,64
55,0.1,0.54,0.02403204272363152,63
56,0.1,0.55,0.02403204272363152,61
57,0.1,0.56,0.02403204272363152,60
58,0.1,0.57,0.02403204272363152,59
59,0.1,0.58,0.02403204272363152,60
